Date/Time,4/13/2021,14:43:14,BEAM_PROFILE_Y
Distance (μm),Intensity (cnts),,
1405.89,80,,
1409.58,80,,
1413.27,89,,
1416.96,79,,
1420.65,84,,
1424.34,74,,
1428.03,80,,
1431.72,83,,
1435.41,84,,
1439.1,71,,
1442.79,79,,
1446.48,75,,
1450.17,79,,
1453.86,79,,
1457.55,92,,
1461.24,84,,
1464.93,81,,
1468.62,77,,
1472.31,81,,
1476,79,,
1479.69,85,,
1483.38,93,,
1487.07,77,,
1490.76,78,,
1494.45,97,,
1498.14,93,,
1501.83,100,,
1505.52,87,,
1509.21,91,,
1512.9,89,,
1516.59,118,,
1520.28,152,,
1523.97,148,,
1527.66,137,,
1531.35,101,,
1535.04,146,,
1538.73,289,,
1542.42,614,,
1546.11,1043,,
1549.8,1453,,
1553.49,1639,,
1557.18,1605,,
1560.87,1336,,
1564.56,883,,
1568.25,508,,
1571.94,213,,
1575.63,99,,
1579.32,101,,
1583.01,129,,
1586.7,163,,
1590.39,132,,
1594.08,104,,
1597.77,81,,
1601.46,81,,
1605.15,94,,
1608.84,106,,
1612.53,100,,
1616.22,84,,
1619.91,80,,
1623.6,85,,
1627.29,81,,
1630.98,88,,
1634.67,85,,
1638.36,81,,
1642.05,82,,
1645.74,84,,
1649.43,85,,
1653.12,81,,
1656.81,83,,
1660.5,85,,
1664.19,81,,
1667.88,87,,
1671.57,81,,
1675.26,81,,
1678.95,87,,
1682.64,82,,
1686.33,78,,
1690.02,77,,
1693.71,85,,
1697.4,85,,
1701.09,85,,
1704.78,84,,
1708.47,77,,
1712.16,81,,
1715.85,80,,
1719.54,81,,
1723.23,80,,
1726.92,81,,
1730.61,83,,
1734.3,78,,
1737.99,88,,
1741.68,84,,
1745.37,83,,
1749.06,78,,
1752.75,86,,
1756.44,81,,
1760.13,79,,
1763.82,84,,
1767.51,81,,
1771.2,87,,
1774.89,82,,
1778.58,84,,
1782.27,86,,
1785.96,75,,
1789.65,78,,
1793.34,78,,
1797.03,79,,
1800.72,83,,
1804.41,80,,
1808.1,76,,
1811.79,82,,
1815.48,80,,
1819.17,76,,
